f,t,cmd_vel,x,y,z,roll,pitch,yaw,wheel_mean,e,edot_f,tau_pd_raw,tau,qL,qR,wvFL,wvRL,wvFR,wvRR
0,0.0,0.5,19.967,-0.0,0.4468,0.06,-1.15,-0.0,-0.033,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,-0.03,-0.04,-0.02
1,0.0167,0.507,19.968,-0.001,0.4468,0.07,-1.15,-0.0,0.208,0.0,0.0,-0.0,0.0,0.0,0.0,0.15,0.24,0.33,0.11
2,0.0333,0.514,19.968,-0.001,0.4468,0.09,-1.16,-0.0,0.28,0.0,0.0,-0.0,0.0,0.0,0.0,0.31,0.32,0.21,0.29
3,0.05,0.522,19.969,-0.001,0.447,0.09,-1.15,-0.0,0.441,0.0,0.0,-0.0,0.0,0.0,0.0,0.69,0.38,0.39,0.3
4,0.0667,0.529,19.97,-0.001,0.4471,0.09,-1.15,-0.0,0.36,0.0,0.0,-0.0,0.0,0.0,0.0,0.44,0.52,0.41,0.07
5,0.0833,0.536,19.971,-0.001,0.4472,0.09,-1.15,-0.0,0.468,0.0,0.0,-0.0,0.0,0.0,0.0,0.46,0.53,0.47,0.42
6,0.1,0.543,19.972,-0.001,0.4474,0.08,-1.15,-0.0,0.473,0.0,0.0,-0.0,0.0,0.0,0.0,0.54,0.49,0.46,0.39
7,0.1167,0.551,19.973,-0.001,0.4475,0.08,-1.15,-0.0,0.45,0.0,0.0,-0.0,0.0,0.0,0.0,0.46,0.49,0.45,0.41
8,0.1333,0.558,19.974,-0.001,0.4477,0.08,-1.15,-0.0,0.456,0.0,0.0,-0.0,0.0,0.0,0.0,0.46,0.44,0.47,0.44
9,0.15,0.565,19.975,-0.001,0.4478,0.08,-1.15,-0.0,0.478,0.0,0.0,-0.0,0.0,0.0,0.0,0.48,0.49,0.47,0.47
10,0.1667,0.572,19.976,-0.001,0.4479,0.08,-1.15,-0.0,0.501,0.0,0.0,-0.0,0.0,0.0,0.0,0.58,0.49,0.47,0.47
11,0.1833,0.579,19.977,-0.001,0.448,0.08,-1.15,-0.0,0.491,0.0,0.0,-0.0,0.0,0.0,0.0,0.48,0.45,0.6,0.43
12,0.2,0.587,19.978,-0.001,0.4482,0.07,-1.15,-0.0,0.493,0.0,0.0,-0.0,0.0,0.0,0.0,0.49,0.52,0.47,0.48
13,0.2167,0.594,19.979,-0.001,0.4483,0.07,-1.15,-0.0,0.522,0.0,0.0,-0.0,0.0,0.0,0.0,0.49,0.46,0.59,0.54
14,0.2333,0.601,19.98,-0.0,0.4484,0.07,-1.15,-0.0,0.502,0.0,0.0,-0.0,0.0,0.0,0.0,0.4,0.51,0.58,0.52
15,0.25,0.608,19.981,-0.0,0.4485,0.07,-1.15,-0.0,0.49,0.0,0.0,-0.0,0.0,0.0,0.0,0.47,0.52,0.49,0.49
16,0.2667,0.616,19.982,-0.0,0.4486,0.06,-1.15,-0.0,0.513,0.0,0.0,-0.0,0.0,0.0,0.0,0.52,0.48,0.53,0.51
17,0.2833,0.623,19.983,-0.0,0.4487,0.06,-1.15,-0.0,0.627,0.0,0.0,-0.0,0.0,0.0,0.0,0.55,0.79,0.64,0.53
18,0.3,0.63,19.985,-0.0,0.4488,0.06,-1.15,-0.0,0.572,0.0,0.0,-0.0,0.0,0.0,0.0,0.59,0.57,0.59,0.54
19,0.3167,0.637,19.986,-0.0,0.4489,0.06,-1.15,-0.0,0.59,0.0,0.0,-0.0,0.0,0.0,0.0,0.62,0.55,0.62,0.57
20,0.3333,0.644,19.987,-0.0,0.4489,0.05,-1.15,-0.0,0.48,0.0,0.0,-0.0,0.0,0.0,0.0,0.64,0.21,0.49,0.57
21,0.35,0.652,19.988,-0.0,0.449,0.05,-1.15,-0.0,0.247,0.0,0.0,-0.0,0.0,0.0,0.0,0.42,-0.53,0.5,0.59
22,0.3667,0.659,19.99,-0.0,0.449,0.05,-1.15,-0.0,0.615,0.0,0.0,-0.0,0.0,0.0,0.0,0.62,0.62,0.6,0.63
23,0.3833,0.666,19.991,-0.0,0.4491,0.04,-1.15,-0.0,0.506,0.0,0.0,-0.0,0.0,0.0,0.0,0.65,0.16,0.59,0.62
24,0.4,0.673,19.993,-0.0,0.4491,0.04,-1.15,-0.0,0.663,0.0,0.0,-0.0,0.0,0.0,0.0,0.59,0.8,0.64,0.62
25,0.4167,0.681,19.994,-0.0,0.4491,0.04,-1.15,-0.0,0.625,0.0,0.0,-0.0,0.0,0.0,0.0,0.61,0.58,0.65,0.65
