f,t,cmd_vel,x,y,z,roll,pitch,yaw,wheel_mean,e,edot_f,tau_pd_raw,tau,qL,qR,wvFL,wvRL,wvFR,wvRR
0,0.0,0.5,19.967,-0.0,0.4468,0.06,-1.15,-0.0,-0.033,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,-0.03,-0.04,-0.02
1,0.0167,0.507,19.968,-0.001,0.4468,0.07,-1.15,-0.0,0.206,0.0,0.0,-0.0,0.0,0.0,0.0,0.17,0.22,0.32,0.11
2,0.0333,0.514,19.968,-0.001,0.4468,0.09,-1.16,-0.0,0.279,0.0,0.0,-0.0,0.0,0.0,0.0,0.29,0.3,0.23,0.29
3,0.05,0.522,19.969,-0.001,0.447,0.09,-1.15,-0.0,0.465,0.0,0.0,-0.0,0.0,0.0,0.0,0.62,0.4,0.39,0.45
4,0.0667,0.529,19.97,-0.001,0.4471,0.09,-1.15,-0.0,0.338,0.0,0.0,-0.0,0.0,0.0,0.0,0.41,0.49,0.42,0.02
5,0.0833,0.536,19.971,-0.001,0.4472,0.09,-1.15,-0.0,0.449,0.0,0.0,-0.0,0.0,0.0,0.0,0.45,0.51,0.46,0.37
6,0.1,0.543,19.972,-0.001,0.4474,0.08,-1.15,-0.0,0.418,0.0,0.0,-0.0,0.0,0.0,0.0,0.34,0.48,0.46,0.39
7,0.1167,0.551,19.973,-0.001,0.4475,0.08,-1.15,-0.0,0.442,0.0,0.0,-0.0,0.0,0.0,0.0,0.34,0.48,0.51,0.44
8,0.1333,0.558,19.974,-0.001,0.4477,0.08,-1.15,-0.0,0.459,0.0,0.0,-0.0,0.0,0.0,0.0,0.46,0.47,0.46,0.45
9,0.15,0.565,19.975,-0.001,0.4478,0.08,-1.15,-0.0,0.459,0.0,0.0,-0.0,0.0,0.0,0.0,0.47,0.46,0.45,0.46
10,0.1667,0.572,19.976,-0.001,0.4479,0.08,-1.15,-0.0,0.446,0.0,0.0,-0.0,0.0,0.0,0.0,0.41,0.46,0.44,0.48
11,0.1833,0.579,19.977,-0.001,0.448,0.08,-1.15,-0.0,0.468,0.0,0.0,-0.0,0.0,0.0,0.0,0.48,0.47,0.44,0.48
12,0.2,0.587,19.978,-0.001,0.4482,0.07,-1.15,-0.0,0.489,0.0,0.0,-0.0,0.0,0.0,0.0,0.49,0.59,0.4,0.47
13,0.2167,0.594,19.979,-0.001,0.4483,0.07,-1.15,-0.0,0.519,0.0,0.0,-0.0,0.0,0.0,0.0,0.52,0.49,0.53,0.54
