f,t,cmd_vel,x,y,z,roll,pitch,yaw,wheel_mean,e,edot_f,tau_pd_raw,tau,qL,qR,wvFL,wvRL,wvFR,wvRR
0,0.0,0.5,19.967,-0.002,0.4468,0.1,-1.15,0.02,0.026,0.0002,0.0,-0.0,0.0,0.00364,0.00406,0.02,0.03,0.03,0.02
1,0.0167,0.507,19.967,-0.002,0.4469,0.1,-1.15,0.02,0.262,-0.00043,0.0,0.0,0.0,0.00332,0.00376,0.39,0.18,0.25,0.23
2,0.0333,0.514,19.968,-0.002,0.4469,0.1,-1.15,0.02,0.289,-0.00172,0.0,0.0,0.0,0.00267,0.00311,0.31,0.26,0.31,0.28
3,0.05,0.522,19.969,-0.001,0.447,0.1,-1.15,0.02,0.345,-0.00313,-0.00798,0.0,0.0,0.00197,0.00241,0.35,0.32,0.37,0.34
4,0.0667,0.529,19.969,-0.001,0.4471,0.09,-1.15,0.02,0.36,-0.00456,-0.01558,0.0,0.0,0.00125,0.00169,0.32,0.34,0.39,0.38
5,0.0833,0.536,19.97,-0.001,0.4472,0.09,-1.15,0.02,0.39,-0.006,-0.02263,0.0,0.0,0.00054,0.00097,0.39,0.35,0.41,0.4
6,0.1,0.543,19.971,-0.0,0.4473,0.09,-1.15,0.02,0.397,-0.00744,-0.02908,0.0,0.0,-0.00019,0.00025,0.41,0.37,0.4,0.41
7,0.1167,0.551,19.972,-0.0,0.4474,0.09,-1.15,0.02,0.399,-0.00888,-0.03492,0.0,0.0,-0.0009,-0.00047,0.41,0.38,0.39,0.41
8,0.1333,0.558,19.973,0.0,0.4475,0.08,-1.15,0.02,0.403,-0.01029,-0.04088,0.0,0.0,-0.00161,-0.00117,0.41,0.35,0.4,0.45
9,0.15,0.565,19.974,0.0,0.4476,0.08,-1.15,0.02,0.477,-0.01138,-0.0459,0.0,0.0,-0.00216,-0.00171,0.44,0.39,0.6,0.48
10,0.1667,0.572,19.975,0.0,0.4477,0.08,-1.15,0.02,0.482,-0.01144,-0.04894,0.0,0.0,-0.0022,-0.00173,0.42,0.37,0.6,0.53
11,0.1833,0.579,19.976,0.0,0.4478,0.08,-1.15,0.02,0.477,-0.01144,-0.05014,0.0,0.0,-0.00219,-0.00174,0.47,0.42,0.55,0.47
12,0.2,0.587,19.977,0.0,0.4479,0.07,-1.15,0.02,0.496,-0.01153,-0.04981,0.0,0.0,-0.00223,-0.00179,0.51,0.46,0.47,0.54
13,0.2167,0.594,19.978,0.001,0.4481,0.07,-1.15,0.02,0.531,-0.01167,-0.04818,0.0,0.0,-0.00231,-0.00186,0.53,0.51,0.57,0.51
14,0.2333,0.601,19.979,0.001,0.4482,0.07,-1.15,0.02,0.482,-0.01186,-0.04547,0.0,0.0,-0.0024,-0.00196,0.5,0.47,0.48,0.48
15,0.25,0.608,19.98,0.001,0.4483,0.06,-1.15,0.02,0.519,-0.01209,-0.04186,0.0,0.0,-0.00254,-0.00204,0.49,0.5,0.56,0.53
16,0.2667,0.616,19.981,0.001,0.4484,0.06,-1.15,0.02,0.53,-0.01231,-0.0378,0.0,0.0,-0.00264,-0.00216,0.52,0.51,0.55,0.53
17,0.2833,0.623,19.982,0.001,0.4485,0.06,-1.15,0.02,0.546,-0.01239,-0.03425,0.0,0.0,-0.00269,-0.0022,0.52,0.56,0.55,0.55
18,0.3,0.63,19.984,0.001,0.4486,0.06,-1.15,0.02,0.542,-0.01253,-0.03126,0.0,0.0,-0.00276,-0.00227,0.55,0.55,0.49,0.58
19,0.3167,0.637,19.985,0.001,0.4487,0.05,-1.15,0.02,0.564,-0.01276,-0.02878,0.0,0.0,-0.00289,-0.00237,0.56,0.52,0.62,0.57
20,0.3333,0.644,19.986,0.001,0.4487,0.05,-1.15,0.02,0.571,-0.01295,-0.02664,0.0,0.0,-0.00298,-0.00246,0.6,0.55,0.56,0.58
21,0.35,0.652,19.988,0.001,0.4488,0.05,-1.15,0.02,0.64,-0.0135,-0.02513,0.0,0.0,-0.00327,-0.00273,0.77,0.59,0.6,0.6
22,0.3667,0.659,19.989,0.001,0.4488,0.04,-1.15,0.02,0.587,-0.01361,-0.02368,0.0,0.0,-0.00332,-0.00279,0.71,0.49,0.54,0.6
23,0.3833,0.666,19.99,0.001,0.4489,0.04,-1.15,0.02,0.601,-0.01311,-0.02167,0.0,0.0,-0.00305,-0.00256,0.61,0.6,0.6,0.59
24,0.4,0.673,19.992,0.001,0.4489,0.04,-1.15,0.02,0.608,-0.0125,-0.01918,0.0,0.0,-0.00272,-0.00227,0.69,0.55,0.55,0.64
