f,t,cmd_vel,x,y,z,roll,pitch,yaw,wheel_mean,e,edot_f,tau_pd_raw,tau,qL,qR,wvFL,wvRL,wvFR,wvRR
0,0.0,0.5,19.967,-0.002,0.4468,0.09,-1.15,0.01,0.015,4e-05,0.0,-0.01,0.0,0.003,0.00331,0.01,-0.0,0.03,0.01
1,0.0167,0.514,19.967,-0.002,0.4468,0.1,-1.15,0.01,0.436,-0.0006,0.0,0.18,0.0,0.00268,0.003,1.02,0.29,0.25,0.19
2,0.0333,0.528,19.968,-0.001,0.4469,0.1,-1.15,0.01,0.442,-0.00209,0.0,0.63,0.0,0.00192,0.00226,0.79,0.35,0.35,0.28
3,0.05,0.542,19.969,-0.001,0.447,0.09,-1.15,0.01,0.398,-0.00438,-0.0106,2.05,0.0,0.00079,0.00111,0.39,0.4,0.41,0.39
4,0.0667,0.556,19.97,-0.0,0.447,0.09,-1.15,0.01,0.42,-0.0068,-0.02164,3.55,3.0,-0.00043,-0.0001,0.42,0.42,0.45,0.39
5,0.0833,0.569,19.971,0.0,0.4471,0.09,-1.15,0.01,0.431,-0.00914,-0.03227,5.0,5.0,-0.0016,-0.00127,0.43,0.43,0.46,0.41
6,0.1,0.583,19.971,0.0,0.4472,0.09,-1.15,0.01,0.429,-0.01025,-0.04075,5.93,5.93,-0.00216,-0.00182,0.45,0.42,0.43,0.42
7,0.1167,0.597,19.972,0.0,0.4474,0.08,-1.15,0.01,0.426,-0.01002,-0.04621,6.24,6.24,-0.00204,-0.00171,0.45,0.42,0.39,0.44
8,0.1333,0.611,19.973,0.0,0.4475,0.08,-1.15,0.01,0.441,-0.00991,-0.05024,6.49,6.49,-0.00198,-0.00167,0.45,0.44,0.44,0.43
9,0.15,0.625,19.974,0.0,0.4477,0.08,-1.15,0.01,0.456,-0.0101,-0.05246,6.7,6.7,-0.00207,-0.00176,0.46,0.45,0.45,0.47
10,0.1667,0.639,19.976,0.0,0.4478,0.08,-1.15,0.01,0.475,-0.01018,-0.05214,6.7,6.7,-0.00212,-0.00179,0.48,0.45,0.5,0.47
11,0.1833,0.653,19.977,0.0,0.4479,0.08,-1.15,0.01,0.546,-0.01022,-0.04939,6.52,6.52,-0.00214,-0.00181,0.46,0.45,0.72,0.55
12,0.2,0.667,19.978,0.0,0.4481,0.07,-1.15,0.02,0.474,-0.01035,-0.04471,6.24,6.24,-0.00222,-0.00187,0.56,0.52,0.27,0.55
13,0.2167,0.681,19.979,0.0,0.4482,0.07,-1.15,0.02,0.485,-0.01057,-0.03967,5.95,5.95,-0.00232,-0.00198,0.58,0.54,0.3,0.52
14,0.2333,0.694,19.98,0.001,0.4483,0.07,-1.15,0.01,0.502,-0.0108,-0.03572,5.74,5.74,-0.00243,-0.0021,0.56,0.54,0.35,0.56
15,0.25,0.708,19.982,0.001,0.4484,0.06,-1.15,0.01,0.585,-0.01097,-0.03252,5.57,5.57,-0.00251,-0.00219,0.59,0.58,0.58,0.59
16,0.2667,0.722,19.983,0.001,0.4485,0.06,-1.15,0.01,0.638,-0.01113,-0.02967,5.41,5.41,-0.00259,-0.00227,0.78,0.56,0.61,0.61
17,0.2833,0.736,19.984,0.001,0.4486,0.06,-1.15,0.01,0.608,-0.01132,-0.02728,5.31,5.31,-0.00268,-0.00238,0.59,0.61,0.61,0.62
18,0.3,0.75,19.986,0.001,0.4487,0.05,-1.15,0.02,0.622,-0.0115,-0.02532,5.22,5.22,-0.00276,-0.00246,0.63,0.54,0.66,0.66
19,0.3167,0.764,19.987,0.001,0.4488,0.05,-1.15,0.02,0.653,-0.01168,-0.02365,5.16,5.16,-0.00286,-0.00255,0.67,0.64,0.65,0.65
20,0.3333,0.778,19.989,0.001,0.4488,0.04,-1.15,0.02,0.635,-0.01225,-0.02254,5.25,5.25,-0.00317,-0.00281,0.69,0.5,0.66,0.69
21,0.35,0.792,19.991,0.001,0.4489,0.04,-1.15,0.02,0.663,-0.01202,-0.02108,5.08,5.08,-0.00304,-0.00271,0.68,0.61,0.67,0.69
22,0.3667,0.806,19.992,0.001,0.449,0.04,-1.15,0.02,0.626,-0.01129,-0.01889,4.71,4.71,-0.00267,-0.00235,0.71,0.51,0.62,0.66
23,0.3833,0.819,19.994,0.001,0.449,0.04,-1.15,0.02,0.681,-0.01035,-0.01582,4.21,4.21,-0.00218,-0.0019,0.62,0.85,0.55,0.71
24,0.4,0.833,19.996,0.001,0.449,0.04,-1.15,0.02,0.777,-0.00947,-0.01202,3.68,3.68,-0.00172,-0.00148,0.77,0.87,0.74,0.73
25,0.4167,0.847,19.998,0.0,0.449,0.04,-1.15,0.02,0.766,-0.00865,-0.00765,3.13,3.13,-0.00125,-0.00113,0.73,0.84,0.72,0.77
26,0.4333,0.861,20.0,0.0,0.449,0.04,-1.15,0.02,0.782,-0.00788,-0.00282,2.56,2.56,-0.00083,-0.00078,0.76,0.8,0.79,0.78
