f,t,cmd_vel,x,y,z,roll,pitch,yaw,wheel_mean,e,edot_f,tau_pd_raw,tau,qL,qR,wvFL,wvRL,wvFR,wvRR
0,0.0,0.5,19.967,-0.0,0.4468,0.06,-1.15,-0.0,-0.033,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,-0.03,-0.04,-0.02
1,0.0167,0.514,19.968,-0.001,0.4468,0.07,-1.15,-0.0,0.208,0.0,0.0,-0.0,0.0,0.0,0.0,0.15,0.24,0.33,0.11
2,0.0333,0.528,19.968,-0.001,0.4468,0.09,-1.16,-0.0,0.276,0.0,0.0,-0.0,0.0,0.0,0.0,0.29,0.31,0.21,0.29
3,0.05,0.542,19.969,-0.001,0.447,0.09,-1.15,-0.0,0.399,0.0,0.0,-0.0,0.0,0.0,0.0,0.44,0.41,0.4,0.35
4,0.0667,0.556,19.97,-0.001,0.4471,0.09,-1.15,-0.0,0.489,0.0,0.0,-0.0,0.0,0.0,0.0,0.38,0.5,0.44,0.63
5,0.0833,0.569,19.971,-0.001,0.4473,0.09,-1.15,-0.0,0.454,0.0,0.0,-0.0,0.0,0.0,0.0,0.46,0.46,0.5,0.4
6,0.1,0.583,19.972,-0.001,0.4474,0.08,-1.15,-0.0,0.487,0.0,0.0,-0.0,0.0,0.0,0.0,0.46,0.51,0.53,0.45
7,0.1167,0.597,19.973,-0.001,0.4476,0.08,-1.15,-0.0,0.48,0.0,0.0,-0.0,0.0,0.0,0.0,0.49,0.45,0.51,0.46
8,0.1333,0.611,19.974,-0.001,0.4477,0.08,-1.15,-0.0,0.494,0.0,0.0,-0.0,0.0,0.0,0.0,0.5,0.49,0.49,0.5
9,0.15,0.625,19.975,-0.001,0.4478,0.08,-1.15,-0.0,0.563,0.0,0.0,-0.0,0.0,0.0,0.0,0.5,0.51,0.74,0.51
10,0.1667,0.639,19.976,-0.001,0.448,0.08,-1.15,-0.0,0.573,0.0,0.0,-0.0,0.0,0.0,0.0,0.64,0.51,0.62,0.53
11,0.1833,0.653,19.977,-0.001,0.4481,0.08,-1.15,-0.0,0.56,0.0,0.0,-0.0,0.0,0.0,0.0,0.52,0.46,0.71,0.55
12,0.2,0.667,19.978,-0.001,0.4483,0.07,-1.15,-0.0,0.593,0.0,0.0,-0.0,0.0,0.0,0.0,0.62,0.57,0.6,0.58
13,0.2167,0.681,19.98,-0.0,0.4484,0.07,-1.15,-0.0,0.641,0.0,0.0,-0.0,0.0,0.0,0.0,0.69,0.54,0.73,0.61
14,0.2333,0.694,19.981,-0.0,0.4485,0.07,-1.15,-0.0,0.584,0.0,0.0,-0.0,0.0,0.0,0.0,0.59,0.57,0.6,0.57
15,0.25,0.708,19.982,-0.0,0.4486,0.06,-1.15,-0.0,0.682,0.0,0.0,-0.0,0.0,0.0,0.0,0.6,0.91,0.6,0.61
16,0.2667,0.722,19.984,-0.0,0.4487,0.06,-1.15,-0.0,0.648,0.0,0.0,-0.0,0.0,0.0,0.0,0.65,0.63,0.67,0.65
17,0.2833,0.736,19.985,-0.0,0.4488,0.06,-1.15,-0.0,0.646,0.0,0.0,-0.0,0.0,0.0,0.0,0.66,0.64,0.63,0.66
